dataset,model,accuracy,precision,recall,f1
LIAR,Logistic Regression,0.6036036036036037,0.5700483091787439,0.41843971631205673,0.48261758691206547
LIAR,Naive Bayes,0.6047786917352135,0.6034782608695652,0.3076241134751773,0.40751614797416325
LIAR,Linear SVM,0.5781433607520564,0.5254237288135594,0.4671985815602837,0.4946034725480995
Kaggle,Logistic Regression,0.9829945019818438,0.9870093194012991,0.97571189279732,0.981328092096027
Kaggle,Naive Bayes,0.937476026083621,0.9316215461903433,0.9318816303740927,0.931751570132589
Kaggle,Linear SVM,0.9891318245748626,0.9915659263424234,0.9846454494695701,0.9880935705280852
